name,sowing,spacing,harvest,compatibility,avoid,image_link,temperature
Broad Beans, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 15 - 25 cm apart , Harvest in 12-22 weeks. Pick frequently to encourage more pods. ," Dill, Potatoes",,www.gardenate.com/image/158,6°C and 24°C
Broccoli," Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 35 - 50 cm apart , Harvest in 10-16 weeks. Cut flowerhead off with a knife.. ," Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, 
aromatic herbs (sage, dill, chamomile, oregano)"," Climbing (pole) beans, tomato, peppers (chilli, capsicum), eggplant (aubergine), strawberry, mustard",www.gardenate.com/image/20,7°C and 30°C
Brussels sprouts," Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 45 - 60 cm apart , Harvest in 14-28 weeks. Pick sprouts when small. . ," Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, 
aromatic herbs (sage, dill, chamomile)"," Climbing (pole) beans, tomato, peppers (chili, capsicum), eggplant (aubergine), strawberry, mustard",www.gardenate.com/image/125,7°C and 30°C
Burdock, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 60 cm apart , Harvest in 17-18 weeks. , Best grown in separate bed.,,www.gardenate.com/image/165,10°C and 20°C
Cabbage," Easy to grow. Grow in seed trays, and plant out in 4 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 50 - 75 cm apart , Harvest in 11-15 weeks. ," Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, 
aromatic herbs (sage, dill, chamomile, thyme)"," Climbing (pole) beans, tomato, peppers (chili, capsicum), eggplant (aubergine), strawberry, mustard, parsnip",www.gardenate.com/image/181,5°C and 18°C
Cape Gooseberry, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 100 - 150 cm apart , Harvest in 14-16 weeks. , Will happily grow in a flower border but tends to sprawl over other plants.,,www.gardenate.com/image/56,10°C and 25°C
Capsicum," Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 20 - 50 cm apart , Harvest in 10-12 weeks. Cut fruit off with sharp knife. ," Egg plant (Aubergine), Nasturtiums, Basil, Parsley, Amaranth",,www.gardenate.com/image/47,18°C and 35°C
Cardoon," Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 50 - 150 cm apart , Harvest in 34-35 weeks. , Best grown in separate bed.,,www.gardenate.com/image/120,13°C and 25°C
Carrot, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 5 - 30 cm apart , Harvest in 12-18 weeks. ," Onions, Leeks, Lettuce, Sage, Peas, Radishes, Tomatoes, Beans, Celery, Rosemary"," Parsnips, Beetroot, Dill, Brassicas, Fennel",www.gardenate.com/image/175,8°C and 30°C
Cauliflower," Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 60 - 100 cm apart , Harvest in 15-22 weeks. ," Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, 
aromatic herbs (sage, dill, chamomile)"," Climbing (pole) beans, tomato, peppers (chili, capsicum), eggplant (aubergine), strawberry, mustard",www.gardenate.com/image/126,10°C and 30°C
Celeriac," Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 45 - 80 cm apart , Harvest in 14-28 weeks. ," Beans, brassicas, carrots, leeks, lettuce, peas, sage, tomatoes, onions",,www.gardenate.com/image/127,8°C and 21°C
Celery," Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 15 - 30 cm apart , Harvest in 17-18 weeks. , Not applicable as celery needs to be close together to encourage blanching., Sweetcorn,www.gardenate.com/image/128,12°C and 21°C
Chicory, Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 25 - 30 cm apart , Harvest in 16-24 weeks. Will need forcing before final harvest. ," Carrots, onions, Florence fennel, tomatoes.",,www.gardenate.com/image/105,10°C and 20°C
Chilli peppers," Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 40 - 50 cm apart , Harvest in 9-11 weeks. Wear gloves to pick 'hot' chilies. , Best grown in a separate bed as chillis need plenty of light and air circulation.,,www.gardenate.com/image/129,18°C and 35°C
Chinese cabbage, Easy to grow. Sow direct in the garden. Sow seed at a depth approximately three times the diameter of the seed., 30 cm apart , Harvest in 8-10 weeks. Harvest whole head or you can take a few leaves at a time. ," Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, 
aromatic herbs (sage, dill, chamomile, coriander), lettuce, potatoes"," Climbing (pole) beans, tomato, peppers (chilli, capsicum), eggplant (aubergine), strawberry, mustard",www.gardenate.com/image/168,10°C and 20°C
Chives, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 5 cm apart , Harvest in 7-11 weeks. ," Carrots, Tomatoes, Parsley, Apples",,www.gardenate.com/image/69,10°C and 30°C
Choko/Chayote, Easy to grow. Plant whole mature fruit when one produces a shoot at one end.., 100 cm apart , Harvest in approximately 17 weeks. Best when fruit is light green and not more than 6cm long. , Cucumbers,,www.gardenate.com/image/99,15°C and 30°C
Collards," Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 40 - 50 cm apart , Harvest in 8-11 weeks. ," Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, 
aromatic herbs (sage, dill, chamomile)"," Climbing (pole) beans, tomato, peppers (chili, capsicum), eggplant (aubergine), strawberry, mustard",www.gardenate.com/image/147,8°C and 30°C
Coriander, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., Thin to 45 cm , Harvest in 30-45 days. ," Dill, Chervil, Anise, Cabbages, Carrots", Fennel,www.gardenate.com/image/183,10°C and 25°C
Corn Salad, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 10 - 15 cm apart , Harvest in 5-8 weeks. , Onions,,www.gardenate.com/image/130,10°C and 20°C
Cowpeas, Easy to grow. When soil begins to warm up. After frosts finish.. Sow seed at a depth approximately three times the diameter of the seed., Rows 1 Metre apart , Harvest in 11-14 weeks. ,,,www.gardenate.com/image/166,15°C and 35°C
Cucumber, Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 40 - 60 cm apart , Harvest in 8-10 weeks. Cut fruit off with scissors or sharp knife. ," Nasturtiums, Beans, Celery, Lettuce, Sweet Corn, Cabbages, Sunflowers, Coriander, Fennel, Dill, Sunflowers"," Potato, Tomatoes",www.gardenate.com/image/177,16°C and 35°C
Daikon, Easy to grow. Direct in garden. Sow seed at a depth approximately three times the diameter of the seed., 15 cm apart , Harvest in 8-10 weeks. Dig daikon carefully. They are rather brittle.. ," Chervil, cress,lettuce, leeks, spinach, strawberries, tomatoes"," Gherkins, hyssop",www.gardenate.com/image/122,10°C and 20°C
Dill, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 15 cm apart , Harvest in 8-12 weeks. Use leaves before flowering. ," Cabbage, Coriander, Fennel, tomatoes, broccoli",,www.gardenate.com/image/131,10°C and 20°C
Eggplant," Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 60 - 75 cm apart , Harvest in 12-15 weeks. Cut fruit with scissors or sharp knife. ," Beans, capsicum, lettuce, amaranth, thyme", Potatoes,www.gardenate.com/image/24,24°C and 32°C
Endive, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 20 - 30 cm apart , Harvest in 10-11 weeks. ," beans, brassicas, carrots, cucumbers, chervil, sage.", Alliums (garlic and onions),www.gardenate.com/image/148,15°C and 25°C
Fennel, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., Thin to 30 cm , Harvest in 14-15 weeks. ,, Best grown away from vegetables,www.gardenate.com/image/50,10°C and 25°C
Florence Fennel, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., Thin to 15 cm , Harvest in 14-20 weeks. ," Lettuce, Chicory, Cucumber, peas, sage"," Beans, tomatoes",www.gardenate.com/image/81,10°C and 25°C
French tarragon, Plant cuttings or root division., 40 - 60 cm apart , Harvest in 30-40 days. Pick leaves when young for best flavour. , Aubergine (Eggplant) and Capsicum (Peppers),,www.gardenate.com/image/39,10°C and 25°C
Garlic, Easy to grow. Plant cloves., 10 - 12 cm apart , Harvest in 17-25 weeks. ," Beets, Carrots, Cucumbers, Dill, Tomatoes, Parsnips"," Asparagus, Beans, Brassicas, Peas, Potatoes",www.gardenate.com/image/72,10°C and 35°C
Ginger, Plant pieces of fresh root showing signs of shoots., 15 cm apart , Harvest in approximately 25 weeks. Reduce water as plant dies back to encourage rhizome growth. , Grow in separate bed,,www.gardenate.com/image/198,20°C and 30°C
Horseradish, Easy to grow. Plant root pieces., 50 cm apart , Harvest in 16-24 weeks. Some improvement in flavour if left till after frost.. , Best kept separate,,www.gardenate.com/image/123,10°C and 25°C
Jerusalem Artichokes," Easy to grow. Plant tubers about 5cm (1.5"") deep..", 30 - 45 cm apart , Harvest in 15-20 weeks. ," Tomatoes, cucumbers",,www.gardenate.com/image/184,8°C and 15°C
Kale," Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 50 - 100 cm apart , Harvest in 7-10 weeks. ," Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, 
aromatic herbs (sage, dill, camomile)"," Climbing (pole) beans, tomato, peppers (chilli, capsicum), eggplant (aubergine), strawberry, mustard",www.gardenate.com/image/155,8°C and 30°C
Kohlrabi, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 10 - 25 cm apart , Harvest in 7-10 weeks. ,"  Beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, 
aromatic herbs (sage, dill, chamomile)"," Climbing (pole) beans, tomato, peppers (chilli, capsicum), eggplant (aubergine), strawberry, mustard",www.gardenate.com/image/188,8°C and 30°C
Leeks," Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 10 - 20 cm apart , Harvest in 15-18 weeks. Loosen with a fork rather than pull by hand.. , Carrots,,www.gardenate.com/image/41,8°C and 30°C
Lemon Balm, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 25 cm apart , Harvest in 8-10 weeks. Cut back tall stems to prevent flowering. , Good to attract bees,,www.gardenate.com/image/49,10°C and 25°C
Lettuce," Easy to grow. Sow in garden, or start in seed trays and plant out in 4-6 weeks.. Sow seed at a depth approximately three times the diameter of the seed.", 20 - 30 cm apart , Harvest in 8-12 weeks. ," Carrots, Onions, Strawberries, Beets, Brassicas, Radish, Marigold, Borage, Chervil, Florence fennel, leeks."," Parsley, Celery",www.gardenate.com/image/31,8°C and 27°C
Luffa," Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 45 - 75 cm apart , Harvest in 11-12 weeks. Use as a back scratcher. ," Peas, Beans, Onions, Sweetcorn", Potatoes,www.gardenate.com/image/133,20°C and 30°C
Marrow," Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 90 - 120 cm apart , Harvest in 12-17 weeks. ," Peas, Beans, Onions, Sweetcorn", Potatoes,www.gardenate.com/image/134,20°C and 35°C
Mint, Easy to grow. Grow in trays and plant out or start from cuttings. Sow seed at a depth approximately three times the diameter of the seed., 30 cm apart , Harvest in 8-12 weeks. Cut leaves from top with scissors. ," Cabbages, Tomatoes",,www.gardenate.com/image/135,21°C and 24°C
Mizuna, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 15 - 20 cm apart , Harvest in 35-50 days. ," Radish, lettuce",,www.gardenate.com/image/136,10°C and 30°C
Mustard greens, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 35 - 60 cm apart , Harvest in 5-8 weeks. ," Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, 
aromatic herbs (sage, dill, camomile)"," Climbing (pole) beans, tomato, peppers (chilli, capsicum), eggplant (aubergine), strawberry",www.gardenate.com/image/96,10°C and 35°C
NZ Spinach," Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 45 - 60 cm apart , Harvest in 8-10 weeks. Pick the tips. , Does better if alone.,,www.gardenate.com/image/137,18°C and 35°C
Okra," Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 35 - 60 cm apart , Harvest in 11-14 weeks. ," Peppers (Capsicum, Chili), Eggplant (Aubergine)",,www.gardenate.com/image/138,20°C and 35°C
Onion," Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 5 - 10 cm apart , Harvest in 25-34 weeks. Allow onions to dry before storing. ," Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth"," Peas, Beans",www.gardenate.com/image/115,8°C and 30°C
Oregano," Sow in garden, or start in seed trays. Sow seed at a depth approximately three times the diameter of the seed.", 15 cm apart , Harvest in 6-8 weeks. When flowers appear. , Broccoli,,www.gardenate.com/image/57,18°C and 25°C
Pak Choy, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 30 - 40 cm apart , Harvest in 6-11 weeks. ," Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, 
aromatic herbs (sage, dill, chamomile, coriander), lettuce, potatoes"," Climbing (pole) beans, tomato, peppers (chili, capsicum), eggplant (aubergine), strawberry, mustard",www.gardenate.com/image/121,21°C and 30°C
Parsley, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 20 - 30 cm apart , Harvest in 9-19 weeks. Cut stalks from outer part of plant. ," Carrots, Chives, Tomatoes, Asparagus", Potatoes,www.gardenate.com/image/36,10°C and 30°C
Parsnip, Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 8 - 10 cm apart , Harvest in 17-20 weeks. Best flavour if harvested after a frost.. ," Swiss Chard (Silverbeet), Capsicum, Peas, Potatoes, Beans, Radishes, Garlic"," Carrot, Celery, Brassicas",www.gardenate.com/image/60,6°C and 21°C
Peas, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 5 - 8 cm apart , Harvest in 9-11 weeks. Pick the pods every day to increase production. , Potatoes,,www.gardenate.com/image/94,8°C and 24°C
Potato, Plant tuber., 30 - 40 cm apart ," Harvest in 15-20 weeks. Dig carefully, avoid damaging the potatoes. "," Peas, Beans, Brassicas, Sweetcorn, Broad Beans, Nasturtiums, Marigolds"," Cucumber, Pumpkin, Sunflowers, Tomatoes, Rosemary",www.gardenate.com/image/151,10°C and 30°C
Pumpkin, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 90 - 120 cm apart , Harvest in 15-20 weeks. , Sweet Corn, Potatoes,www.gardenate.com/image/140,20°C and 32°C
Radish, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 3 - 5 cm apart , Harvest in 5-7 weeks. ," Chervil, cress,lettuce, leeks, spinach, strawberries, tomatoes"," Hyssop, gherkins",www.gardenate.com/image/117,8°C and 30°C
Rhubarb, Easy to grow. Plant pieces of rhizome or roots 8 - 10 cm (3 - 4 in.) deep., 90 cm apart , Harvest in approximately 1 years. You will have a stronger plant if you leave it for about a year before using.. ," Brassicas (Cabbage, Broccoli, Cauliflower, etc)",,www.gardenate.com/image/141,5°C and 20°C
Rocket, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 15 - 20 cm apart , Harvest in 21-35 days. , Lettuce,,www.gardenate.com/image/164,10°C and 25°C
Rockmelon," Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 40 - 60 cm apart , Harvest in 10-16 weeks. ," Sweetcorn, Sunflowers", Potatoes,www.gardenate.com/image/153,20°C and 32°C
Rosella," Sow in garden, or start in seed trays. Sow seed at a depth approximately three times the diameter of the seed.", 140 cm apart , Harvest in 21-25 weeks. ," Feverfew, Coriander, Nasturtium and Hyssop
",,www.gardenate.com/image/108,20°C and 35°C
Rosemary, Easy to grow. Plant cuttings ., 100 - 150 cm apart ," Harvest in approximately 1 years. In warmer areas, harvest time might be shorter. "," Beans, Carrots, Cabbages, Sage", Potatoes,www.gardenate.com/image/44,15°C and 20°C
Rutabaga, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 10 - 20 cm apart , Harvest in 10-14 weeks. ," Peas, Beans, Chives", Potatoes,www.gardenate.com/image/169,7°C and 25°C
Sage, Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 50 cm apart , Harvest in approximately 18 months. Time reduced if grown from cuttings. ," Broccoli, Cauliflower, Rosemary, Cabbage and Carrots ",,www.gardenate.com/image/3,10°C and 25°C
Salsify, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 15 - 20 cm apart , Harvest in 14-21 weeks. ," Beans, Brassicas, Carrots, Celeriac, Endive, Kohl-rabi, Leeks, Lettuce, Alliums, Spinach",,www.gardenate.com/image/142,10°C and 30°C
Savory - summer savory, Easy to grow. Sow in Garden. Lightly cover.. Sow seed at a depth approximately three times the diameter of the seed., 25 cm apart , Harvest in 6-10 weeks. Cut before flowers form for best flavour. ," Beans, Onions",,www.gardenate.com/image/174,18°C and 30°C
Savory - winter savory, Easy to grow. Start in trays. Cover seed lightly.. Sow seed at a depth approximately three times the diameter of the seed., 30 - 40 cm apart , Harvest in 6-10 weeks. Use the leaves fresh.. , Beans,,www.gardenate.com/image/110,18°C and 30°C
Shallots," Easy to grow. Plant small bulblets,  with stem just showing above ground.", 15 - 20 cm apart , Harvest in 12-15 weeks. Keep a few for your next planting. ," Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth"," Peas, Beans",www.gardenate.com/image/170,8°C and 30°C
Silverbeet, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 15 - 30 cm apart , Harvest in 7-12 weeks. ," Beans, brassica sp. (cabbage, cauliflower, etc), tomato, allium sp. (onion, garlic, chives), lavender, parsnip"," Corn, melon, cucurbit (cucumbers, squash, melons, gourds), most herbs, potato.",www.gardenate.com/image/98,10°C and 30°C
Snow Peas, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 8 - 10 cm apart , Harvest in 12-14 weeks. ," Carrots, Endive, Florence fennel, Winter lettuce, Brassicas."," Chives, Alliums, Tomatoes",www.gardenate.com/image/173,8°C and 20°C
Spinach, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 20 - 30 cm apart , Harvest in 5-11 weeks. ," Broad beans (fava), cabbage, cauliflower, celery, eggplant (aubergine), onion, peas, strawberry, santolina",,www.gardenate.com/image/87,10°C and 25°C
Spring onions, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., Plant close together , Harvest in 8-12 weeks. ," Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth"," Peas, Beans",www.gardenate.com/image/143,10°C and 20°C
Squash," Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 60 - 80 cm apart , Harvest in 7-8 weeks. , Sweet corn,,www.gardenate.com/image/64,21°C and 35°C
Strawberries from seeds, Start inside in pots or trays after chilling seeds.. Sow seed at a depth approximately three times the diameter of the seed., 30 - 100 cm apart , Harvest in approximately 1 years. Seedlings need to grow for about a year before fruiting. Remove first flowers. . , Better in a bed on their own to allow good sun and air circulation," If you are using rotation beds then avoid putting strawberries where you have grown tomatoes, potatoes, peppers or eggplant ",www.gardenate.com/image/152,10°C and 20°C
Strawberry Plants, Easy to grow. Plant with crown (of roots) just covered.., 30 - 100 cm apart ," Harvest in approximately 11 weeks. Strawberries bruise easily when ripe, handle carefully. Pick with a small piece of stem attached.. ", Better in a bed on their own to allow good sun and air circulation," If you are using rotation beds, avoid putting strawberries where you have grown tomatoes, potatoes, peppers or eggplant ",www.gardenate.com/image/150,10°C and 20°C
Sunflower, Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 20 - 45 cm apart , Harvest in 10-11 weeks. ," Cucumbers, Melons, Sweetcorn, Squash", Potatoes,www.gardenate.com/image/186,10°C and 30°C
Sweet corn, Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 20 - 30 cm apart , Harvest in 11-14 weeks. ," All beans, cucumber, melons, peas, pumpkin, squash, amaranth", Celery.,www.gardenate.com/image/40,16°C and 35°C
Sweet Marjoram," Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 20 cm apart , Harvest in 8-10 weeks. Best flavour if picked before flowering. ," Peppers (Capsicums, Chilis), Sage,",,www.gardenate.com/image/172,10°C and 25°C
Sweet Potato, Plant shoots or cuttings (Slips)., 40 - 60 cm apart , Harvest in 15-17 weeks. , Best in Separate bed,,www.gardenate.com/image/48,17°C and 35°C
Taro," Plant small pieces of tuber or suckers, 5-8cm deep.", 80 cm apart , Harvest in approximately 28 weeks. When the leaves begin to die down. . , Best in separate bed,,www.gardenate.com/image/171,20°C and 35°C
Thyme, Grow in seed trays and plant out 6-8 weeks. Sow seed at a depth approximately three times the diameter of the seed., 25 - 30 cm apart , Harvest in 42-52 weeks. Root divisions ready in 3 months. ," Dry-environment herbs (oregano,sage), Eggplant, Cabbage",,www.gardenate.com/image/162,15°C and 25°C
Tomatillo," Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 70 cm apart , Harvest in 10-14 weeks. Husk splits when fruit is ripe.. , Will happily grow in a flower border,,www.gardenate.com/image/182,21°C and 27°C
Tomato," Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 40 - 60 cm apart , Harvest in 8-17 weeks. ," Asparagus, Chervil,Carrot, Celery, Chives, Parsley, Marigold, Basil"," Rosemary, Potatoes, Fennel, Cucumber",www.gardenate.com/image/26,16°C and 35°C
Turnip, Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed., 12 - 20 cm apart , Harvest in 6-9 weeks. ," Peas, Beans, Chives, Spinach, Carrots, Chicory"," Potatoes, Tomatoes",www.gardenate.com/image/146,12°C and 30°C
Watermelon," Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 60 - 75 cm apart , Harvest in 12-17 weeks. ," Sweetcorn, Sunflowers", Potatoes,www.gardenate.com/image/118,21°C and 35°C
Yacon, Easy to grow. Plant sprouting root/tuber to a depth of about 4cm and mulch to cover., 100 cm apart , Harvest in approximately 25 weeks. You can collect a few at a time without digging out the whole plant.. , Best in separate bed,,www.gardenate.com/image/2,10°C and 25°C
Yam/Oca," Plant tubers about 5cm (1.5"") deep covered with soil.", 30 - 45 cm apart , Harvest in 15-20 weeks. Leave in the ground until foliage has completely died down so tubers reach maximum size. , Best in separate bed,,www.gardenate.com/image/161,17°C and 35°C
Zucchini," Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed.", 50 - 90 cm apart , Harvest in 6-9 weeks. Cut the fruit often to keep producing. ," Corn, beans, nasturtiums, parsley, Silverbeet, Tomatoes", Potatoes,www.gardenate.com/image/28,21°C and 35°C
